city;lat;lng;country;iso3
Tokyo;35.6897;139.6922;Japan;JPN
Jakarta;-6.175;106.8275;Indonesia;IDN
Delhi;28.61;77.23;India;IND
Guangzhou;23.13;113.26;China;CHN
Mumbai;19.0761;72.8775;India;IND
Manila;14.5958;120.9772;Philippines;PHL
Shanghai;31.2286;121.4747;China;CHN
São Paulo;-23.55;-46.6333;Brazil;BRA
Seoul;37.56;126.99;Korea, South;KOR
Mexico City;19.4333;-99.1333;Mexico;MEX
Cairo;30.0444;31.2358;Egypt;EGY
New York;40.6943;-73.9249;United States;USA
Dhaka;23.7639;90.3889;Bangladesh;BGD
Beijing;39.9067;116.3975;China;CHN
Kolkāta;22.5675;88.37;India;IND
Bangkok;13.7525;100.4942;Thailand;THA
Shenzhen;22.5415;114.0596;China;CHN
Moscow;55.7558;37.6172;Russia;RUS
Buenos Aires;-34.6033;-58.3817;Argentina;ARG
Lagos;6.455;3.3841;Nigeria;NGA
Istanbul;41.0136;28.955;Turkey;TUR
Karachi;24.86;67.01;Pakistan;PAK
Bangalore;12.9789;77.5917;India;IND
Ho Chi Minh City;10.7756;106.7019;Vietnam;VNM
Ōsaka;34.6939;135.5022;Japan;JPN
Chengdu;30.66;104.0633;China;CHN
Tehran;35.6892;51.3889;Iran;IRN
Kinshasa;-4.3219;15.3119;Congo (Kinshasa);COD
Rio de Janeiro;-22.9111;-43.2056;Brazil;BRA
Chennai;13.0825;80.275;India;IND
Xi’an;34.2611;108.9422;China;CHN
Lahore;31.5497;74.3436;Pakistan;PAK
Chongqing;29.5637;106.5504;China;CHN
Los Angeles;34.1141;-118.4068;United States;USA
Baoding;38.874;115.464;China;CHN
London;51.5072;-0.1275;United Kingdom;GBR
Paris;48.8567;2.3522;France;FRA
Linyi;35.1038;118.3564;China;CHN
Dongguan;23.021;113.752;China;CHN
Hyderābād;17.3617;78.4747;India;IND
Tianjin;39.1336;117.2054;China;CHN
Lima;-12.06;-77.0375;Peru;PER
Wuhan;30.5934;114.3046;China;CHN
Nanyang;32.9987;112.5292;China;CHN
Hangzhou;30.267;120.153;China;CHN
Foshan;23.0214;113.1216;China;CHN
Nagoya;35.1833;136.9;Japan;JPN
Tongshan;34.204;117.284;China;CHN
Luanda;-8.8383;13.2344;Angola;AGO
Zhoukou;33.625;114.6418;China;CHN
Ganzhou;25.831;114.933;China;CHN
Kuala Lumpur;3.1478;101.6953;Malaysia;MYS
Heze;35.2343;115.4796;China;CHN
Quanzhou;24.8744;118.6757;China;CHN
Johannesburg;-26.2044;28.0456;South Africa;ZAF
Chicago;41.8375;-87.6866;United States;USA
Nanjing;32.0608;118.7789;China;CHN
Jining;35.4151;116.5871;China;CHN
Hanoi;21;105.85;Vietnam;VNM
Pune;18.5203;73.8567;India;IND
Fuyang;32.89;115.814;China;CHN
Ahmedabad;23.0225;72.5714;India;IND
Bogotá;4.7111;-74.0722;Colombia;COL
Shenyang;41.8025;123.4281;China;CHN
Dar es Salaam;-6.8161;39.2803;Tanzania;TZA
Khartoum;15.6;32.5;Sudan;SDN
Shangqiu;34.415;115.656;China;CHN
Hong Kong;22.3;114.2;Hong Kong;HKG
Cangzhou;38.3047;116.8387;China;CHN
Riyadh;24.6333;46.7167;Saudi Arabia;SAU
Santiago;-33.4372;-70.6506;Chile;CHL
Xingtai;37.0717;114.5048;China;CHN
Zhumadian;33.014;114.022;China;CHN
Chattogram;22.335;91.8325;Bangladesh;BGD
Surabaya;-7.2458;112.7378;Indonesia;IDN
Zhanjiang;21.2701;110.3575;China;CHN
Bijie;27.284;105.292;China;CHN
Yancheng;33.3482;120.1626;China;CHN
Hengyang;26.894;112.572;China;CHN
Zunyi;27.722;107.031;China;CHN
Shaoyang;27.2395;111.4679;China;CHN
Sūrat;21.1702;72.8311;India;IND
Shangrao;28.4551;117.9431;China;CHN
Xinyang;32.149;114.091;China;CHN
Madrid;40.4169;-3.7033;Spain;ESP
Baghdad;33.3153;44.3661;Iraq;IRQ
Maoming;21.6627;110.9255;China;CHN
Jieyang;23.551;116.3727;China;CHN
Miami;25.784;-80.2101;United States;USA
Singapore;1.3;103.8;Singapore;SGP
Houston;29.786;-95.3885;United States;USA
Liaocheng;36.4559;115.9852;China;CHN
Huanggang;30.4537;114.8724;China;CHN
Dalian;38.9;121.6;China;CHN
Dallas;32.7935;-96.7667;United States;USA
Qingdao;36.0669;120.3827;China;CHN
Yulin;22.654;110.181;China;CHN
Douala;4.05;9.7;Cameroon;CMR
Qujing;25.491;103.796;China;CHN
Nangandao;35.3036;113.9268;China;CHN
Philadelphia;40.0077;-75.1339;United States;USA
Pudong;31.2347;121.5064;China;CHN
Toronto;43.7417;-79.3733;Canada;CAN
Zhengzhou;34.764;113.684;China;CHN
Dezhou;37.436;116.359;China;CHN
Nanchong;30.8372;106.1106;China;CHN
Jinan;36.6702;117.0207;China;CHN
Giza;29.987;31.2118;Egypt;EGY
Nairobi;-1.2864;36.8172;Kenya;KEN
Guadalajara;20.6767;-103.3475;Mexico;MEX
Ankara;39.93;32.85;Turkey;TUR
Tai’an;36.202;117.087;China;CHN
Langfang;39.5383;116.6835;China;CHN
Dazhou;31.2093;107.4678;China;CHN
Saint Petersburg;59.9375;30.3086;Russia;RUS
Monterrey;25.6667;-100.3;Mexico;MEX
Belo Horizonte;-19.9167;-43.9333;Brazil;BRA
Suzhou;33.6333;116.9683;China;CHN
Yongzhou;26.42;111.613;China;CHN
Changde;29.031;111.699;China;CHN
Xiangyang;32.01;112.122;China;CHN
Rangoon;16.795;96.16;Burma;MMR
Atlanta;33.7628;-84.422;United States;USA
Washington;38.9047;-77.0163;United States;USA
Zhaotong;27.338;103.717;China;CHN
Zhangzhou;24.513;117.647;China;CHN
Melbourne;-37.8142;144.9631;Australia;AUS
Yichun;27.816;114.417;China;CHN
Bozhou;33.8626;115.7742;China;CHN
Suqian;33.9331;118.2831;China;CHN
Abidjan;5.3167;-4.0333;Côte d’Ivoire;CIV
Ji’an;27.0912;114.9668;China;CHN
Guilin;25.275;110.296;China;CHN
Pingdingshan;33.735;113.2999;China;CHN
Berlin;52.52;13.405;Germany;DEU
Alexandria;31.1975;29.8925;Egypt;EGY
Mianyang;31.468;104.679;China;CHN
Sydney;-33.8678;151.21;Australia;AUS
Huanglongsi;34.795;114.345;China;CHN
Barcelona;41.3828;2.1769;Spain;ESP
Yuncheng;35.0267;111.007;China;CHN
Cape Town;-33.9253;18.4239;South Africa;ZAF
Changsha;28.228;112.939;China;CHN
Jeddah;21.5433;39.1728;Saudi Arabia;SAU
Weinan;34.5206;109.471;China;CHN
Chenzhou;25.77;113.016;China;CHN
Jiangmen;22.5789;113.0815;China;CHN
Jiujiang;29.661;115.954;China;CHN
Xinpu;34.5966;119.2214;China;CHN
Yibin;28.752;104.643;China;CHN
Huaihua;27.5698;110.0016;China;CHN
Yangzhou;32.3912;119.4363;China;CHN
Taizhou;32.4567;119.9229;China;CHN
Kunming;25.0464;102.7094;China;CHN
Yiyang;28.5549;112.356;China;CHN
Changchun;43.897;125.326;China;CHN
Lu’an;31.736;116.52;China;CHN
Jiangguanchi;34.0244;113.8201;China;CHN
Meizhou;24.289;116.122;China;CHN
Ürümqi;43.8225;87.6125;China;CHN
Suzhou;31.3;120.6194;China;CHN
Boston;42.3188;-71.0852;United States;USA
İzmir;38.42;27.14;Turkey;TUR
Guigang;23.112;109.599;China;CHN
Shantou;23.354;116.682;China;CHN
Kabul;34.5253;69.1783;Afghanistan;AFG
